ופקיד וּפַקֵּּ[י]ד:ס=שפיקד
אסתכל אִסְתַּכַּל:אתפעל(סכל)3,ז,י,עבר
אצטריך אִצְטְְרִיךְ:ס=נצטרך
אקרי אִקְּרֵי:אפעל(קרי),3,ז,י,הווה
אשתכחו אִשְׁתְּכַחוּ:נפעל(שכח),2mpi=הִמָּצְאוּ|נפעל(שכח),3mpp=נִמְצְאוּ
אתעביד אִתְעֲבִיד:נפעל(עבד),1xsf=אֵעָשֶׂה|נפעל(עבד),2msi=הֵעָשֵׂה|נפעל(עבד),3msp=נַעֲשָׂה
אתעבידו אִתְעֲבִידוּ:נפעל(עבד),2mpi=תֵּעָשׂוּ||נפעל(עבד),3mpp=נַעֲשׂוּ
אלא אֶלָּּא:מילת-יחס=אֶלָּא
אזלין אָזְלִין:פעל(אזל),גוף-שלישי,זכר,רבים,בינוני=הוֹלְכִים|פעל(אזל),גוף-שלישי,נקבה,רבים,בינוני=הוֹלְכוֹת
אחרא אַחֲרָא:תואר-השם
אחרנין אַחֲרָנִין:תואר-השם(אחרא),ז,ר
אנפין אַנְפִּין:שם-עצם(אַפָּא),זכר,רבים=פָּנִים
אתון אַתּּוּן:ס
אדם אָדָם:שם-עצם,זכר,יחיד=אדם
אתוון אָתְוָון:שם-עצם(אָת),נקבה,רבים=אותיות
אורכא אֻ[ו]רְכָּא:שם-עצם,זכר,יחיד=אוֹרֶךְ
באתר בַּאֲתַר:מילת-חיבור(ב)+שם-עצם
באלף בַּאֲלַף:מילת-חיבור(ב)+שם-עצם
בארעא בְּאַרְעָא:מילת-חיבור(ב)+שם-עצם
באדם בְּאָדָם:מילת-חיבור(ב)+שם-עצם
בבוצינא בְּבוֹצִינָא:מילת-חיבור(ב)+שם-עצם
בגלגלתא בְּגֻלְגַּלְתָּא:מילת-חיבור(ב)+שם-עצם
בדקנא בְּדִיקְנָא:מילת-חיבור(ב)+שם-עצם
בהאי בְּהַאי:מילת-חיבור(ב)+כינו-גוף,3,י
בהני בְּהָנֵי:מילת-חיבור(ב)+כינו-גוף,3,ר
בכתפוהי בְּכַתְפוֹהִי:מילת-חיבור(ב)+שם-עצם(כתפא),ז,ר+מושא,3,י
במאתן בְּמַאתָן:מילת-חיבור(ב)+שם-מספר
בסטרא בְּסִטְרָא:מילת-חיבור(ב)+שם-עצם
בסחרניה בְּסַחְרָנֵיהּ:מילת-חיבור(ב)+תואר-השם(סחר)+מושא,3,ז,י
בסומקא בְּסוּמָּקָא:מילת-חיבור(ב)+תואר-השם
בעלמא בְּעָלְמָא:מילת-חיבור(ב)+שם-עצם
אודנא אֻ[וּ]דְנָא:שם-עצם,נקבה,יחיד=אוֹזֶן
אודנו{ה}י אֻ[וּ]דְנוֹ{הִ}י:שם-עצם(אֻדְנָא),זכר,רבים=אוֹזְנָיו
אודנין אֻ[וּ]דְנִין:שם-עצם(אֻדְנָא),נקבה,רבים=אוֹזְנַיִים
אוכמא אֻ[וּ]כָּמָאתואר-ה:שם,זכר,יחיד=שָׁחוֹר
אוכמתא אֻ[וּ]כַּמְתָּא:תואר-השם,נקבה,יחיד=שְׁחוֹרָה אֻ[וּ]כָּמָתָא:תואר-השם,נקבה,רבים=שְׁחוֹרוֹת
אבא אַבָּּא:שם-עצם,זכר,יחיד=אַבָּא
אבהתא אֲבָהָתָא:שם-עצם(אַבָּא),זכר,רבים=אָבוֹת
אבהתנא אֲבָהָתַנָא:שם-עצם(אַבָּא),זכר,רבים+מושא,גוף-ראשון,זכר-נקבה,רבים=אֲבוֹתֵינוּ
אבל אֲבָל:מילת-חיבור=אֲבָל
אבן אֶבֶן:שם-עצם,נקבה,יחיד=אֶבֶן
אבנא אַבְנָא:שם-עצם(אֶבֶן),נקבה,יחיד=אֶבֶן
אבעי אֶבְעֵי:פעל(בעי),גוף-ראשון,זכר-נקבה,יחיד,עתיד=אֲבַקֵּשׁ
אברהם אַבְרָהָם:שם=אַבְרָהָם
אברי אֶבְרֵי:פעל(ברי),גוף-ראשון,זכר-נקבה,יחיד,עתיד=אֶבְרָא
אבתריהו אַבָּתְרַיְהוּ:מילת-יחס(א)+מילת-יחס(בָּתַר)+מושא,גוף-שלישי,זכר,יחיד=אַחֲרָיו
אגין אַגֵּ[י]ן:הפעיל(גנן),גוף-ראשון,זכר,יחיד,עתיד=אָגֵן|הפעיל(גנן),גוף-שלישי,זכר,יחיד,עבר=הֵגֵן
אדהכי אַדְּהָכִי:מילת-יחס=בתוך-כך
אדכר אִדְּכַר:נפעל(דכר),גוף-שלישי,זכר,יחיד,עבר=נִזְכַּר|נפעל(דכר),גוף-ראשון,זכר-נקבה,יחיד,עתיד=אִזָּכֵר
אוירא אֲוֵירָא:שם-עצם,זכר,יחיד
אורחא אוֹרְחָא:שם-עצם,זכר,יחיד=דֶּרֶךְ
אורחו{ה}י אוֹרְחוֹ{הִ}י:שם-עצם(אוֹרְחָא),זכר,רבים+כינוי-מושא,גוף-שלישי,זכר,יחיד=דְּרָכָיו
אורייתא אוֹרָיְ[י]תָא:שם-עצם,נקבה,יחיד=תּוֹרָה
אותביה אוֹתְבֵ[י]הּ:הפעיל(יתב),גוף-שלישי,זכר,יחיד+כינוי-מושא,גוף-שלישי,זכר,יחיד=הוֹשִׁיבוֹ(~הוֹשִׁיב-אוֹתוֹ)|הפעיל(תוב),גוף-שלישי,זכר,יחיד+כינוי-מושא,גוף-שלישי,זכר,יחיד=הֱשִׁיבוֹ(~הֵשִׁיב-אוֹתוֹ)
אזדרזו אִזְדָּרַזוּ:התפעל(זרז),גוף-שני,זכר,רבים,ציווי=הִזְדָּרְזוּ|התפעל(זרז),גוף-שלישי,זכר,רבים,עבר=הִזְדָּרְזוּ
אזיל אָזֵ[י]ל:ס
אחית אַחֵ[י]ת:הפעיל(נחת),שלישי,זכר,יחיד,עבר=הוֹרִיד|הפעיל(נחת),שני,זכר,יחיד,ציווי=הוֹרֵד|הפעיל(נחת),ראשון,זכר-נקבה,עתיד=אוֹרִיד אַחִית:הפעיל(נחת),שלישי,נקבה,יחיד,עבר=הוֹרִידָה|הפעיל(נחת),שני,נקבה,יחיד,ציווי=הוֹרִידִי
אי אִי:מילת-שאלה=אִם
