אֱלָהִין אֱלֹהִים
אִתְפָּרְשָׁא התפרש
אִתְפָּרְשָׁן נפרדות
אִתְפָּשָׁט מתפשט
אִתְפָּשָׁטוּ התפשטו
אִתְקְיָֽימוּ נתקיימו
אִתְקְיַּים התקיים
אִתְקְרִיאַת נִקְרֵאתָ
אִתְקְרֵי נקראת
אִתְקְרֵיא נקרא
אִתְקְרוּן נִקְרָאִים
אִתְקַיָימוּ וְהִתְקַיְּמוּ
אִתְקַיֵּים מִתְקַיֵּם
אִתְקַל נשקל
אִתְקַן תֻּקַּן
אִתְקַשְׁרוּ נִקְשָׁרִים
אִתְקַשַּׁר נתקשר
אִתְקָיָּימוּ התקיימו
אִתְקָלוּ נשקלים
אִתְקָמַט מתקמט
אִתְקָרֵינָא שַׁבָּת
אִתְקָשָּׁרוּ נקשרו
אִתְרְגִישׁ התרגש
אִתְרְגִישׁו נתרגשו
אִתְרְחִיצוּ בטחו
אִתְרְשִׁים נִּרְשַׁם
אִתְרַבִּיאוּ מִתְרַבִּים
אִתְרַבֵּי מתרבה
אִתְתְּקָֽנוּ הִתְתַּקְּנוּ
אִתְתַּקָּנַת הִתְתַּקְּנָה
אִתְתָּקַּן התתקן
אִתְתָּקָּנוּ הִתְתַּקְּנוּ
אִתְּכַּבְּשָן הזה
אִתְּמַר נאמר
אִתְּמָר נֶאֱמַר
אִתְּעַר התעורר
אִתְּעָרוּן מִתְעוֹרְרִים
אֵֽלֶּה הַזֶּה
אֵבֶר הַזֶּה
אֵיךְ אֵיךְ
אֵימַת מָתַי
אֵימָא אֹמַר
אֵימָתַי מָתַי
אֵין אֵין
אֵיעוֹל אכנס
אֵל הַאל
אֵלִיָּֽהוּ אֵלִיָּהוּ
אֵלֶּה אֵלֶּה
אֶֽבֶן אֶבֶן
אֶֽלָא אֶלָּא
אֶֽלָּא אֶלָּא
אֶֽרֶץ אֶרֶץ
אֶהֱוֵי סועד
אֶחָד אֶחָד
אֶלְעָזָר אֶלְעָזָר
אֶלֶף אֶלֶף
אֶלֶף־אַלְפִין אלף־אלפי
אֶלָא אֶלָּא
אֶלָּא אלא
אֶרֶךְ אֶרֶךְ
אֶשָׁא אֵשׁ
אֶשִּׁין האשים
אֶשָּׁא הָאֵשׁ
אֶת־הָאֲרִי אֶת־הָאֲרִי
אַבְחִן מבחינה
אַבְנָא האבן
אַבְרָהָם אַבְרָהָם
אַבַּתְרִין אַחֲרֵינוּ
אַבַּתְרָךְ אַחֲרֶיךְ
אַבָּא אַבָּא
אַגְלִיף וּשְׁנַיִם
אַדְלִיק מַדְלִיק
אַדְמִיךְ ישן
אַהֲבָה הָאַהֲבָה
אַהֲדַר חָזַר
אַחְסַנְתָּא שֶׁל
אַחְרִיתִּי הָאֲחֵרוֹת
אַחֲרִינִין אֲחֵרִים
אַחֲרָא אחר
אַחֲרָנִין הָאֲחֵרִים
אַחֵר אחר
אַחַת אַחַת
אַיְתִיאוּ הֵבִיאוּ
אַיְתֵי אָבא
אַכְלִיל הִכְלִיל
אַכְלוּ אכלו
אַכְסִיף יתבייש
אַכְּסַדְּרִין הָאַכְסַדְרָאוֹת
אַכְּסַדְּרָאִין אַכְסַדְרָאוֹת
אַל אַל
אַלְפִין אלפי
אַלְפֵי אלפי
אַמְלִיךְ נִמְלַךְ
אַמְרֵינָן אמרנו
אַמִּין אַמּוֹת
אַמַּאי לָמָּה
אַנְהִיר מֵאִיר
אַנְפִּין אַנְפִּין
אַנְפֵּי פְּנֵי
אַנְפַּיְהוּ פְּנֵיהֶם
אַנְפּוֹהִי פָּנָיו
אַנְתְּ אתה
אַסְגֵי רִבָּה
אַסְוָותָא רְפוּאָה
אַסְטָאן לימין
אַסְתִּימוּ נסתמו
אַעְבְּרָא מעבר
אַעְדּוּ נעדרו
אַעֲבִיד אֶעֱשֶׂה
אַעֲבַר הָעֳבַר
אַעֲדַר נֶעְדַּר
אַף אַף
אַפְסִיק מפסיק
אַפְתַּח פָּתַח
אַפִּין אַנְפִּין
אַפִּיק הוֹצִיא
אַפֵּי פְּנֵי
אַפַּיִם אַפַּיִם
אַפּוֹטְרוֹפָּא אֶפּוֹטְרוֹפּוֹס
אַקְדִּים הִקְדִּים
אַקְשׁוּ קשים
אַרְבְּעִין אַרְבָּעִים
אַרְבֵּיסַר אַרְבַּע־עֶשְׂרֵה
אַרְבַּע אַרְבָּעָה
אַרְבַּע־מְאָה ארבע־מאות
אַרְבָּא הַהִיא
אַרְכִּין מרכין
אַרְעָא אֶרֶץ
אַשְׁגְּחָן מַשְׁגִּיחִים
אַשְׁגַּח כשמשגיח
אַשְׁגָּחוּתָא השגחות
אַשְׁוֶה אַשְׁוֶה
אַשְׁכְּחָן מָצָאנוּ
אַשְׁכַּחְנָא מָצָאנוּ
אַתְוָון הָאוֹתִיּוֹת
אַתְיָא בָּאָה
אַתְיָאן בָּאִים
אַתְיָין באים
אַתְקִין התקן
אַתְרֵי המקומות
אַתְרָא מקום
אַתְּ אַתָּה
אַתְּעֲֽרוּ הִתְעוֹרְרוּ
אַתּוּן לעולם
אָדָם אָדָם
אָזְלִין הוֹלְכִים
אָזְלֵי הוֹלְכִים
אָזְנֵי אָזְנֵי
אָזִיל הוֹלֶכֶת
אָחֳרָא הָאַחֵר
אָחֳרָנִין אֲחֵרוֹת
אָלֶ״ף אָלֶ״ף
אָמְרִין אוֹמְרִים
אָמְרֵי אוֹמְרִים
אָמְרַת אָמְרָה
אָמְרָה אָמְרָה
אָמְרוּ אָמְרוּ
אָמֵֽינָא אָמַרְתִּי
אָמֵר שנאמר
אָמַר אָמַר
אָעִילָא מַכְנִיסָה
אָרְחָא הַדֶּרֶךְ
אָרְחָךְ דרכך
אָרְחוֹי דְּרָכָיו
אָת הָאוֹת
אָתְוָון הָאוֹתִיּוֹת
אָתְיָאן בָּאִים
אָתֵֽינָא בָאתִי
אָתֵי בָּא
אָתָּה אָתָּה
אֻכְלוֹסִין הֲמוֹנֵי
אֻכְלוֹסָךְ אוּכְלוּסַיִךְ
אוֹ אוֹ
אוֹהֲבִי אוֹהֲבִי
אוֹלִֽיפְנָא לָמַדְנוּ
אוֹלִיד מוֹלִידָה
אוֹלִידַת הוֹלִידָה
אוֹמֵֽינָא נִשְׁבַּעְתִּי
אוֹמָאָה הַשְּׁבוּעָה
אוֹנִיקַת הֵינִיקָה
אוֹצְרִין אוֹצָרוֹת
אוֹקְמֽוּהָ העמידוה
אוֹקִֽימְנָא ביארנו
אוֹקִים עוֹמֵד
אוֹר הָאוֹר
אוֹרְחָא הדר
אוֹרְכָּא אֹרֶךְ
אוֹרִיךְ חִכָּה
אוֹרֵג אוֹרֵג
אוֹרַיְיתָא הַתּוֹרָה
אוֹתְבֵיהּ וְהוֹשִׁיבו
אוּדְנִין אוזניים
אוּדְנָא האוזן
אוּכְמָא שָׁחֹר
אוּכָמִין השחורים
אוּכָמֵי שחורות
אוּכָמָא שחורה
אוּלְפְּנִין הוֹרָאָה
אוּמִין אֻמּוֹת
אוּמוֹת אֻמּוֹת
אוּף אף
אוּרִיָּה אוּרִיָּה
אחר אחר
אנפין אַנְפִּין
אתבסמא נתבשמו
אתפשטן מתפשטות
אתקיימו נתקימו
בְאֹרַח בְּדֶרֶךְ
בְגִינָךְ בגללך
בְהוֹן בָהֶם
בְיָדְךָ בְיָדְךְ
בְכָל בכל
בְכָל־חַכְמֵי בְכָל־חַכְמֵי
בָאָֽרֶץ בָאָרֶץ
בָעָא רָצְתָה
בְּ בְּ
בְּאֲדָר בַּאֲדָר
בְּאֲרִיךְ באריך
בְּאֲתַר בְּמָקוֹם
בְּאֲתָר במקום
בְּאִדָּרָא באדרת
בְּאִילָנָא בָּאִילָן
בְּאִינּוּן בההם
בְּאִלֵּין בְּאֵלּוּ
בְּאִנּוּן בְּאוֹתָם
בְּאִתְגַּלְּיָא בְּהִתְגַּלּוּת
בְּאֵֽלֶּה בְּאֵלֶּה
בְּאֶלֶף באלף
בְּאֶמְצָעִיתָא בָּאֶמְצַע
בְּאֶצְבְּעִין באצבעות
בְּאֶשָּׁא בָּאֵשׁ
בְּאַבְרָהָם בְּאַבְרָהָם
בְּאַנְפִּין בְּפָנִים
בְּאַפִּין בְּפָנִים
בְּאַרְבְּעִין בְּאַרְבָּעִים
בְּאַרְבַּע־מְאָה בארבע־מאות
בְּאַרְעָא בָּאָרֶץ
בְּאַתְרֵיהּ במקומו
בְּאַתְרָא בְּמָקוֹם
בְּאָדָם באדם
בְּאָלֶ״ף בְּאָלֶ״ף
בְּאָרְחַיְיהוּ בדרכם
בְּאָרְחָא שֶׁבַּדֶּרֶךְ
בְּאָת בָּאוֹת
בְּאֹרַח בְּדֶרֶךְ
בְּאוֹרְחוֹי בדרכיו
בְּאוֹרַיְיתָא בתורה
בְּאוֹת בְּאוֹת
בְּאוּדְנִין באוזניים
בְּבִשְׂרָא בִּבְשַׂר
בְּבֵי בבית
בְּבֵיתָא בַּבַּיִת
בְּבַיִת בְּבַיִת
בְּבַעֲלָהּ בַּעְלָהּ
