אֱלָהִין אֱלֹהִים
בַּמַּחֲשָׁבָה בַּמַּחֲשָׁבָה
בַּקְּרָא בַּפָּסוּק
בַּר חוץ
בַּרִבִּי רבי
בַּר־יוֹחָאִי בַּר־יוֹחַאי
בַּר־נָשׁ בן־אָדָם
בַּתְרֵיהּ אַחֲרָיו
בַּתְרַיְיהוּ אַחֲרֵיהֶם
בַּתְרָאָה הָאַחֲרוֹן
בַּתּוֹרָה בַּתּוֹרָה
בַּת־שֶֽׁבַע בַּת־שֶׁבַע
בָּדִילְנָא נפרדני
בָּה בה
בָּהֵיכָל בָּהֵיכָל
בָּהּ בָּהּ
בָּךְ בך
בָּכֵי בוֹכֶה
בָּכָה בָּכָה
בָּכוּ בָּכוּ
בָּלֵי בלה
בָּנִים בָּנִים
בָּנַי בָּנַי
בָּעֵי צָרִיךְ
בָּעָא צָרִיךְ
בָּעוּ רָצוּ
בָּרָא בָּרָא
בָּתַר לְאַחַר
בָּתֵּי בִּתִּי
בָּתֵּי־דִּינִין בתי־דינים
בֹּאִי בֹּאִי
בּוֹצִינִין דרגות
בּוֹצִינֵי מאורות
בּוּכְרָא בְּכוֹר
בּוּסִיטָא פָּנָיו
בּוּצִינִין מאורים
בּוּרְיֵיהּ בוריו
באוירא בָּאֲוִיר
בגין מִשּׁוּם
בההוא בְּאוֹתוֹ
בהו בהם
בהון בהם
ביו״ד בְּיוֹ״ד
בקרטמא בקרטמא
ברחמי ברחמים
גְלִיפָא שֵׁם
גִימְ״ל גִּימֶ״ל
גָלֵי גָּלוּי
גְּאוֹנוֹ גְּאוֹנוֹ
גְּבוּרָאן הגבורות
גְּוָונֵי גוונים
גְּזֵרָה גזרה
גְּזַר גְּזַר
גְּלִיף גילף
גְּלִיפֵי גילופים
גְּלִיפָא חקוק
גְּלֵי גָּלוּי
גְּמוֹל גּוֹמֶלֶת
גְּנִיזִין גְּנָזִים
גְּנִיזָא גנוזה
גְּשָׁמִים גְּשָׁמִים
גִּזְרִין גְּזֵרוֹת
גִּזְרֵי גְּזֵרוֹת
גִּזְרַת גזר
גִּיּוֹרִין גֵּרִים
גִּנְתָּא הגן
גֵּיהִנֹּם הַגֵּיהִנֹּם
גֵּירֵי גֵּרֵי
גַּב פִּי
גַּבֵּיהּ אֵלָיו
גַּדְפִין כְּנָפַיִם
גַּדְפֵי כַּנְפֵי
גַּדְפָא כָּנָף
גַּדְפָהָא כְּנָפֶיהָ
גַּדְּפָא הַזּוֹ
גַּוְונִין גוונים
גַּוְונָא הגוון
גַּלֵּי גלוי
גַּן הָעֵדֶן
גַּרְמִין שֶׁגּוֹרְמִים
גָּדוֹל גָּדוֹל
גָּזִיר גָּזַר
גָּלִיף שֶׁהָיָה
גָּלֵֽינָא אֲגַלֶּה
גָּלֵי גָּלוּי
גָּנִיז גָּנוּז
גָּרְמִין גוֹרְמִים
גָּרִים גּוֹרֵם
גָּרַם גרם
גּוֹ לְתוֹךְ
גּוֹזֵר גּוֹזֵר
גּוּבְרִין גְבָרִים
גּוּלְגַלְתָּא הגולגולת
גּוּלְגַּלְתִּין גולגלות
גּוּלְגַּלְתָּא הגולגולת
גּוּפִין גוּפוֹת
גּוּפָא אחד
גּווָנֵי אֳפָנִים
גוּלְגַּלְתָּא הגולגולת
גולגלתא גולגלתא
דְאִֽיהִי שֶׁהִיא
דְאִית שֶׁיֵּשׁ
דְאִם שֶׁאִם
דְאִנּוּן שֶׁהֵם
דְאִקְרֵי שֶׁנִּקְרֵאת
דְאִשְׁתְּמוֹדְעָא שֶׁנּוֹדָע
דְאִתְבְּרֵי שֶׁנִּבְרָא
דְאִתְמַשְּׁכָא שֶׁנִּמְשֶׁכֶת
דְאִתְּמָר שֶׁנֶּאֱמַר
דְאַרְעָא הָאָרֶץ
דְאַתְּ כְּמוֹ
דְאָמְרֵי שֶׁאוֹמְרִים
דְאוֹרַיְיתָא הַתּוֹרָה
דְאוּרִיָּה שֶׁאוּרִיָּה
דְבָרָא בָּרָא
דְגַדְפִין הַכְּנָפַיִם
דְגַדְּפִין הַכְּנָפַיִם
דְגָלֵי שֶׁגִּלָּה
דְדִינָא שֶׁהַדִּין
דְדַרְגָא שֶׁהַדַּרְגָּה
דְדוּמָה דּוּמָה
דְהַאי שֶׁהַדָּבָר
דְהַהוּא אוֹתוֹ
דְחֶדְוָה שִׂמְחָה
דְחַיֵּי הַחַיִּים
דְחַיָּיבִין שֶׁחוֹשְׁבִים
דְחָכְמְתָא הַחָכְמָה
דְחוֹל הַחֹל
דְטוֹב הַטּוֹב
דְיְהֹוָה שֶׁיְהֹוָה
דְיוֹמִין יָמִים
דְיוֹמָא הַיּוֹם
דְכִפּוּרָא וּבְיוֹם
דְכָל מִכָּל
דְכֹֽלָא שֶׁהַכֹּל
דְכוּרָא הַזָּכָר
דְלִבָּא הַלֵּב
דְלָא שֶׁלֹא
דְמַבְדִּילִין שֶׁמַּבְדִּילִים
דְמַלְכָּא הַמֶּלֶךְ
דְמָחָר מִתְתַּקֶּנֶת
דְנָא הַזֶה
דְנוּרָא הָאֵשׁ
דְסִדְרָא דְּסִדְרָא
דְסָתִים שֶׁסתום
דְעָלְמָא הָעוֹלָם
דְקַיְימָא שֶׁעוֹמֶדֶת
דְרִבִּי רַבִּי
דְרָזָא הַסּוֹד
דְרוּחִין רוּחוֹת
דְשַׁבָּת הַשַּׁבָּת
דְשׁוֹפָרָא הַשּׁוֹפָר
דְתַמָּן שֶׁשָּׁם
דְתַקִּיפִין החזקים
דִבְנִי בְּנֵי
דִבְרִית הַבְּרִית
דִיוּקְנָא צוּרָה
דִילִי שֶׁלִּי
דִילֵיהּ שֶׁלּוֹ
דִילָהּ שֶׁלָּהּ
דִילָךְ שֶׁלְּךְ
דִינִין דינים
דִינָא הַדִּין
דִכְלִילָא שֶׁכְּלוּלָה
דִכְתִיב שכתוב
דִלְהוֹן שֶׁלָּהֶם
דִמְעִין דְּמָעוֹת
דִקְרָא הַפסוק
דִרְקִיעָא הָרָקִיעַ
דִשְׁמָא הַשֵּׁם
דִשְׁרַגָא הַנֵּר
דַכְיָא טָהוֹר
דַרְגָא בַּדַּרְגָּה
דַרְגָּא הַדַּרְגָּה
דָֽלֶ״ת דָּלֶ״ת
דָא זו
דָבָר דָּבָר
דָרָא הַדּוֹר
דְּ שֶׁ
דְּאֲחוֹרָא האחור
דְּאֲמָרִית שֶּׁאָמַרְתָּ
דְּאֲנָא שֶׁאֲנִי
דְּאֲפִילּוּ שאפילו
דְּאֲפִיק שֶׁהוֹצִיא
דְּאֲפַרְסְמוֹנָא אפרסמון
דְּאֲתֵי הַבָּא
דְּאִֽיהִי שֶׁהִיא
דְּאִֽיהוּ שהוא
דְּאִבְרוּ שֶׁנִּבְרְאוּ
דְּאִזְדַּמְּנַת שֶׁמְּזֻמֶּנֶת
דְּאִי שֶׁאִם
דְּאִיָּיר בְּאִיָּר
דְּאִינְהוּ שֶׁהֵם
דְּאִינּוּן שהם
דְּאִיצְטְרִיךְ שצריכות
דְּאִיקְרֵי שֶׁנִּקְרֵאת
דְּאִירַע שֶׁאֵרֵעַ
דְּאִית שֶׁיֵּשׁ
דְּאִיתְּרַק שניצוק
דְּאִלְמָלֵא שֶׁאִלְמָלֵא
דְּאִלֵּין שאלו
דְּאִנּוּן שֶׁהֵם
דְּאִסְתַּלָּקוּ שֶׁהִסְתַּלְּקוּ
דְּאִצְטְרִיךְ שֶׁצָּרִיךְ
דְּאִקְרֵי שנקראת
דְּאִקְרוּן שנקראות
דְּאִשְׁתְּגַח שהשגיחה
דְּאִשְׁתְּכַח שנמצא
דְּאִשְׁתְּכָחוּ שנמצאו
דְּאִשְׁתְּלִים שֶׁנִּשְׁלַם
דְּאִשְׁתְּמוֹדַע שֶׁנּוֹדָע
דְּאִשְׁתְּמוֹדָע שֶׁנּוֹדָע
דְּאִשְׁתַּתַּף שֶׁמִּשְׁתַּתֵּף
דְּאִתְאֲחִיד שֶׁנֶּאֱחָז
דְּאִתְאַחֲדָן שנאחזים
דְּאִתְבְּטָלוּ שהתבטלו
דְּאִתְבְּסָמוּ שהתבשמו
דְּאִתְבְּרֵי שֶׁנִּבְרָא
דְּאִתְבָּרְכָא שֶׁהִתְבָּרֵךְ
דְּאִתְגְלֵי שנגלה
דְּאִתְגְּלֵי שמתגלה
דְּאִתְגַּלְּיָין שנתגלו
דְּאִתְחֲזֵי שראוי
דְּאִתְחֲזוֹן שֶׁנִּרְאוּ
דְּאִתְחַזֵּי שנראה
דְּאִתְחַמֵם שֶׁמִּתְחַמֵּם
דְּאִתְיְלִיד שנולד
דְּאִתְכְּלִיל שנכלל
דְּאִתְכְּלִל שנכללת
דְּאִתְכְּפַל שֶׁנִּכְפְּלָה
דְּאִתְמְלֵּי שמתמלא
דְּאִתְמְנֵי שֶׁהִתְמַנָּה
דְּאִתְמְנָן שֶׁהִתְמַנּוּ
דְּאִתְמְשָׁךְ שנמשך
דְּאִתְמַנִיאוּ שֶׁהִתְמַנּוּ
דְּאִתְמַשְּׁכָא שֶׁנִּמשכת
דְּאִתְמָר שֶׁנאמר
דְּאִתְנְסִיבוּ שנלקחו
דְּאִתְסְחֵי שמתרחץ
דְּאִתְעֲבִיד שֶׁנַּעֲשִׂים
דְּאִתְעֲבִידוּ בַשֵּׁם
דְּאִתְעָבִיד שנעשית
דְּאִתְפְּקַד שֶׁהֻפְקַד
דְּאִתְפַּתַּח שֶׁנִּפְתָּח
דְּאִתְקְרֵי שֶׁנִּקְרָא
דְּאִתְקַשַּׁר שֶׁנִּקְשָׁר
דְּאִתְתְּקַן כָּאן
דְּאִתְתַּקַּן שֶׁמִּתְתַּקֵּן
דְּאִתְתָּקַן שהתתקן
דְּאִתְתָּרַךְ שֶׁגֹּרַשׁ
דְּאִתְּמַר שֶׁנֶּאֱמַר
דְּאִתְּמָר שנאמר
דְּאִתָּמַר שֶׁנֶּאֱמַר
דְּאֵֽלֶּה אֵלֶּה
דְּאֶלֶף עוֹלָמוֹת
דְּאַבְרָהָם שֶׁל
דְּאַבָּתְרֵיהּ שֶׁלְּאַחֲרָיו
דְּאַגְלִיף הָאלפבית
דְּאַטְעִֽימְנָא שֶׁטָּעַמְתִּי
דְּאַכְלָא אוכלת
דְּאַלְפָא מִשּׁוּם
דְּאַמְרֵי שֶּׁאוֹמְרִים
דְּאַמָרָן שֶׁאָמַרְנוּ
דְּאַנְעַר שמתנער
דְּאַנְפּוֹי יוֹשֵׁב
דְּאַנְתְּ שֶׁאַתָּה
דְּאַסְחֵי שרוחץ
דְּאַסְחַר שֶׁמְּסוֹבֵב
דְּאַפִּיק שֶׁהוֹצִיא
דְּאַתְוָון בַּתֵּבוֹת
דְּאַתְיָין שֶׁבָּאִים
דְּאַתְקִֽינוּ שֶׁהִתְקִינוּ
דְּאָדָם האדם
דְּאָכִיל שֶׁאָכַל
דְּאָמְרֵי שאומרים
דְּאָמַֽרְנָא שֶּׁאָמַרְתִּי
דְּאָמַר שנאמר
דְּאָנַח שהניח
דְּאָתֵי הבא
דְּאוֹמֵי שֶׁנִּשְׁבַּע
דְּאוֹקִיד שיוקדת
דְּאוֹקִימְנָא שביארנו
דְּאוֹרְחָא הַדֶּרֶךְ
דְּאוֹרַיְיתָא הַתּוֹרָה
דְּאוּדְנִין הָאָוזְנַיִים
דְּאוּדְנָא שהאוזן
דְּאוּמוֹת מֵאֻמּוֹת
דְּבִי שֶׁבִּי
דְּבִסְטַר שבצד
דְּבִרְעוּ שברצון
דְּבִשְׁאַר שבשאר
דְּבֵיהּ שבו
דְּבֵית בית
דְּבַר־נָשׁ שֶׁבֶּן־אָדָם
דְּבַתְרֵיכוֹן שֶׁאַחֲרֵיכֶם
דְּבָעֵי שֶׁצָּרִיךְ
דְּבָרָא שֶׁבָּרָא
דְּבַּה שָׁבָה
דְּבַּר־נָשׁ בְּנֵי־אָדָם
דְּבוּסְמָא הבשמים
דְּבוּצִינָא הַמָּאוֹר
דְּגֵיהִנֹּם הַגֵּיהִנֹּם
דְּגַדְפִין הכנפיים
דְּגָנִיז שֶׁגָּנַז
דְּגָרְמוּ שֶׁגָּרְמוּ
דְּגָרִים שֶׁגּוֹרֵם
דְּגָרַם שֶּׁגָּרַם
דְּגוּלְגַּלְתָּא מהגולגולת
דְּגוּפִין גּוּפִים
דְּגוּפָא הגוף
דְּדִינָא שֶׁהַדִּין
דְּדִיקְנָא הזקן
דְּדִמְעִין הַדְּמָעוֹת
דְּדַיְירִין הַדָּרִים
דְּדַכְיָא טבעת
דְּדַעְתָּא שהדעת
דְּדַרְגָא שֶׁבדַּרְגָּה
דְּדָחִיל שֶׁפּוֹחֵד
דְּדָלִיג שֶׁדִּלֵּג
דְּהֲוָה שהיה
דְּהֲווּ שֶׁהָיוּ
דְּהִיא שֶׁהִיא
דְּהִלּוּלָא ההילולה
דְּהַאי שֶׁזֶּה
דְּהַהִיא שֶׁבְּשָׁעָה
דְּהַהוּא אוֹתוֹ
דְּהַשְׁתָּא שעכשיו
דְּהָֽכִי שֶׁכָּךְ
דְּהָא שהרי
דְּהָכָא שֶׁכָּאן
דְּהָמוּ שֶׁהָמוּ
דְּהָנֵי שֶׁאֵלּוּ
דְּהוּא שֶׁהוּא
דְּוָרִידִין הורידים
דְּזִמְנִין שלפעמים
דְּזִמְנָא שֶׁפַּעַם
דְּזַמִּין שֶׁעָתִיד
דְּחֲכִימִין שֶׁהַחֲכָמִים
דְּחֲמָרֵי הַחֲמוֹרִים
דְּחֲשִׁיב שֶּׁחָשַׁב
דְּחֲתִים שֶׁחֲתוּמָה
דְּחִוָּור כסות
דְּחִילוּ פָּחֲדוּ
דְּחַבְרַיָּיא חברים
דְּחַד אֶחָד
דְּחַדָּאן ששמחים
דְּחַיְיכַת שֶׁצָּחַקְתָּ
דְּחַיְישִׁינָן שֶׁחוֹשְׁשִׁים
דְּחַיִּין החיים
דְּחַיֵּי החיים
דְּחַיָּיבַיָּא הָחוטאים
דְּחָבוּ שֶׁחָטְאוּ
דְּחָדָא אַחַת
דְּחָדָאן שֶׁשָּׂמְחוּ
דְּחָכְמְתָא ברוח
דְּחָכָם שֶׁחָכָם
דְּחָמֵי שרואה
דְּחָמֵית שֶׁרָאִיתִי
דְּחָמַאת שֶׁרָאֲתָה
דְּחָמָן שראו
דְּחָשְׁבִין שֶׁהַקָּדוֹשׁ
דְּחוֹבָא הַחוֹב
דְּחוֹטָמָא הַחוֹטֶם
דְּחוֹל חול
דְּטַחְנֵי שטוחנים
דְּיִטְעוּן שֶׁיִּטְעוּ
דְּיִפְקַח שיפקח
דְּיִקְרַב שיתקרב
דְּיִרְאָה הַיִרְאָה
דְּיִשְׁגַּח שֶׁיַּשְׁגִּיחַ
דְּיִשְׁתְּכַח שנמצא
דְּיִשְׂרָאֵל שֶׁיִּשְׂרָאֵל
דְּיִתְסְחוּן שיתרחצו
דְּיִתְעַכַּב שיתעכב
דְּיֵדַע שידע
דְּיֵימָּא שיאמר
דְּיֵיתֵי שיבוא
דְּיֵעֲלוּן שֶׁיִּכָּנְסוּ
דְּיֵצִיתוּן שֶׁיַּקְשִׁיבוּ
דְּיַמָּא הים
דְּיַעֲבַר שֶׁיַּעֲבֹר
דְּיָאוּת שיאות
דְּיָהַב שֶׁנָּתַן
דְּיָתְבִין שֶׁיּוֹשְׁבִים
דְּיוֹחָאִי שֶׁלְּיוֹחַאי
דְּיוֹמִין יָמִים
דְּכִתְפּוֹי כתפיו
דְּכַד שֶׁכַּאֲשֶׁר
דְּכַהֲנָא שהכהן
דְּכַלָּה שֶׁהַכַּלָּה
דְּכַפְיָין שכופים
דְּכַר זכר
דְּכָל סתום
דְּכָלִיל שכולל
דְּכֹֽלָא שֶׁהַכֹּל
דְּכֹֽלָּא הַכֹּל
דְּכֹלָּא הכל
דְּכֻלְהוּ שֶׁכֻּלָּם
דְּכֻלְּהוּ שכולם
דְּכֽוֹלָא הַכֹּל
דְּכוּרָא זָכָר
דְּלִיגַת מְדַלֶּגֶת
דְּלִסְטַר שלצד
דְּלֵית שֶׁאֵין
דְּלֵיתְהוֹן שאינם
דְּלָא שלא
דְּלָאו שלא
דְּלָעָאן שֶׁעוֹסְקִים
דְּמִיּוֹמָא שמהיום
דְּמִיכִין יְשֵׁנִים
דְּמִיתוּ שֶׁמֵּתוּ
דְּמִלָּה הדבר
דְּמִמּוֹחָא שמהמוח
דְּמִנְחָה המנחה
דְּמִנֵיהּ בתחתונה
דְּמִנֵּיהּ שממנו
דְּמִצְחָא המצח
דְּמִשְׁתַּדְּלֵי שֶׁמִּשְׁתַּדְּלִים
דְּמִתְאַחֲדָן שנאחזים
דְּמִתְבַּסְּמִין שמתבסמות
דְּמִתְחַבְּרִין שֶׁמִּתְחַבְּרִים
דְּמִתְלְבַּש שמתלבש
דְּמִתְעַטֵּר שמתעטר
דְּמִתְעַסְּקִין שֶׁמִּתְעַסְּקִים
דְּמִתְעָרְבִין שמתערבות
דְּמִתְפְּשָׁט שמתפשטת
דְּמִתְפָּרְשָׁן שֶׁנִּפְרָדִים
דְּמִתְפָּשַׁט שמתפשטת
דְּמֵימוֹי שמימיו
דְּמַאן שמי
דְּמַבְדְּלֵי שֶׁמַבְדִּילִים
דְּמַדְבְּחָא הַמִּזְבֵּחַ
דְּמַלְאֲכֵי מַלְאֲכֵי
דְּמַלְאָכִין מַלְאָכִים
דְּמַלְכָּא הַמֶּלֶךְ
דְּמַלְקְיוּתָא הַמַּלְקוֹת
דְּמַפִּקִין שֶׁמּוֹצִיאִים
דְּמָאן שֶׁל
דְּמָארֵיהּ לאדונו
דְּמָטֵי שֶׁמַּגִּיעַ
דְּמָנוֹחַ שֶׁמָּנוֹחַ
דְּמֹר מַר
דְּמוֹחָא המוח
דְּנִיסָן בְּנִיסָן
דְּנַגְדִּין שֶׁזּוֹרְמִים
דְּנַהֲרָאן שמאירים
דְּנַחֲתָא שֶׁיּוֹרֶדֶת
דְּנַטְלִין שנוטלים
דְּנַפְקֵי מִפִּיכֶם
דְּנָא הַזֶּה
דְּנָגִיד שנמשך
דְּנָהִיר שֶׁמֵּאִיר
דְּנָטְלָא שֶׁנּוֹטֶלֶת
דְּנָטְרוּ שֶׁשָּׁמְרוּ
דְּנָטִיל שֶׁנּוֹטֵל
דְּנָטִיף שנוטף
דְּנָפְלִין הַנּוֹפְלִים
דְּנָפִיק שֶׁיּוֹצֵאת
דְּנָפַק שֶׁיָּצְאָה
דְּנוּקְבָא הַנְּקֵבָה
דְּנוּרָא הָאֵשׁ
דְּסִיוָן שֶׁבְּסִיוָן
דְּסִינַי סיני
דְּסִפְרָא הספר
דְּסַחֲרִין שֶׁסּוֹבְבִים
דְּסַפִּיר הַסַּפִּיר
דְּסָגִיר שֶׁסּוֹגֵר
דְּסָתִים שסתום
דְּסוֹף סוֹף
דְּסוּמָקֵי אדומים
דְּעֲבַד שֶׁעָשָׂה
דְּעֲבַדְתְּ שֶׁעָשִׂיתָ
דְּעֲבַר מִי
דְּעִטְרִין העטרות
דְּעִלָּאָה של
דְּעֵדֶן עֵדֶן
דְּעֵינָא עַיִן
דְּעַבְדַּת שֶׁעָשִׂיתָ
דְּעַד שֶׁעַד
דְּעַיְינִין העיניים
דְּעַל שֶׁעַל
דְּעַתִּיק שעתיק
דְּעַתִּיקִין העתיקים
דְּעַתִּיקֵי העתיקים
דְּעַתִּיקָא של
דְּעָאל שֶׁנִּכְנָס
דְּעָאלִין שֶׁנִּכְנָסוֹת
דְּעָאלוּ שֶׁנִּכְנְסוּ
דְּעָיִיל שנכנס
דְּעָלְמִין הָעוֹלָמוֹת
דְּעָלְמָא שהעולם
דְּעָלוֹי שעליו
דְּפְתְּחָא שֶׁפוֹתֵחַ
דְּפִקּוּדָא שֶׁל
דְּפִתְחָא פתח
דְּפָסִיק שֶׁהִפְסִיק
דְּפָקַח שֶׁפָּקַח
דְּפָרְחָן שֶׁפּוֹרְחִים
דְּפָרַח שֶׁפּוֹרֵחַ
דְּפוּמָא הַפֶּה
דְּצֵרוּפֵי שֶׁל
דְּצַדִּיקִים לַצַּדִּיקִים
דְּצַוְוחִין שצועקים
דְּצָּרִיר שצרור
דְּקִיּוּמָא עֲמִידָה
דְּקֶֽשֶׁת שֶׁהַקֶּשֶׁת
דְּקַדְמָאֵי מקודמים
דְּקַיְימִין שעומדים
דְּקַיָּימִין שֶׁעוֹמְדִים
דְּקָא שֶׁיְּדַעְתֶּם
דְּקָאִים שעמד
דְּקָאֵי שֶׁעוֹמֵד
דְּקָרָא שֶׁקָּרָא
דְּקוּדְשָׁא שֶׁהַקָּדוֹשׁ
דְּרִבִּי רַבִּי
דְּרֵישֵׁיהּ רֹאשׁוֹ
דְּרֵישָׁא הָרֹאשׁ
דְּרַבִּי רַבִּי
דְּרַחֲמֵי הרחמים
דְּרַעֲוִין הָרְצוֹנוֹת
דְּרָזִין הַסּוֹדוֹת
דְּרָחִים שֶׁאוֹהֵב
דְּרָכִיב שרוכב
דְּרָמֵּי שֶׁמּוֹצִיא
דְּרוּגְזָא רוגז
דְּרוּחֵיהּ שֶׁרוּחוֹ
דְּרוּחָא שהרוח
דְּשִׁבְעִין גָּלוּף
דְּשִׁמְשָׁא הַשֶּׁמֶשׁ
דְּשַׁבְּתָא השבת
דְּשַׁבָּת שֶׁיום
דְּשַׁמְעִין ששומעים
דְּשַׁרְיָא שֶׁשּׁוֹרָה
דְּשָׁאַל שֶׁשּׁוֹאֵל
דְּשָׁלִיט הַשַּׁלֶּטֶת
דְּשָׁמַיִם שֶׁהַשָּׁמַיִם
דְּשָׁמַע שֶׁשָּׁמַע
דְּשָׁמַעְנָא שֶּׁשָּׁמַעְתִּי
דְּשָׁרֵי שֶׁשּׁוֹרֶה
דְּשָׁתִֽיקְנָא שֶּׁשָּׁתַקְתִּי
דְּשַׂעְרֵי השיער
דְּשַׂעְרוֹי ששערות
דְּשַׂעֲרֵי שְׂעָרוֹת
דְּשַׂעֲרָא ששיער
דְּתִצְטְרִיךְ שתצטרך
דְּתִקְרוֹבְתָּא מִנְחַת
דְּתִקּוּנֵי תיקוני
דְּתִקּוּנָא הַתִּיקּוּן
דְּתִשְׁמַע שֶׁתִּשְׁמַע
דְּתִתְחֲזֵי שֶׁתֵּרָאֶה
דְּתַלְיָין שתלויים
דְּתַמָּן שֶׁשָׁם
דְּתַנְיָא שלמדנו
דְּתַתָּאָה שֶׁלְּמַטָּה
דְּתָאנָא שלמדנו
דְּתָמְכִין שֶׁתּוֹמְכִים
דְּתָנִינָן שֶׁשָּׁנִינוּ
דְּתָנֵינָן שלמדנו
דִּבְגִינֵיהּ שבגללו
דִּבְגוֹ שבתוך
דִּבְדִּיקְנָא שבזקן
דִּבְהַאי שבזה
דִּבְנֵי בְּנֵי
דִּבְנֵי־עָלְמָא שֶׁבְּנֵי־אָדָם
דִּבְרִית הַבְּרִית
דִּבְרֵאשִׁית בְרֵאשִׁית
דִּבְשַׁעֲתָא שֶׁבְּשָׁעָה
דִּבּוּר דִּבּוּר
דִּגְלִֽיפוּ שגולפו
דִּדְכוּרָא הַזָּכָר
דִּזְעֵיר קָטָן
דִּטְמִירִין הַנִּסְתָּרִים
דִּיבָבָא יבבה
דִּיהוֹן שֶׁיִּהְיוּ
דִּילְהוֹן שֶׁלָּהֶם
דִּילִי לכבודי
דִּילֵיהּ שֶׁלּוֹ
דִּילָהּ שֶׁלָּהּ
דִּילָלָה יללה
דִּילָן שלנו
דִּין דִּין
דִּינִין הדינים
דִּינָא הדין
דִּיקְנָא הזקן
דִּכְלִילָא שֶׁכְּלוּלָה
דִּכְלִילָן שכלולות
דִּכְסִיפִין שמשתוקקים
דִּכְתִיב שכתוב
דִּכְתִּיב דִּכְתִּיב
דִּלְבַר שבחוץ
דִּלְגוֹ שלתוך
דִּלְהוֹן שלהם
דִּלְמָחָר שֶׁמָּחָר
דִּלְעֵֽילָא שֶׁלְּמַעְלָה
דִּלְעֵֽילָּא שֶׁלְּמַעְלָה
דִּלְעֵילָא שֶׁלְּמַעְלָה
דִּלְעֵילָּא שלמעלה
דִּלְתַתָּא שֶׁלְּמַטָּה
דִּלְתַּתָּא שֶׁלְּמַטָּה
דִּמְגַלֵי שמגלה
דִּמְהַפְּכֵי שהופכים
דִּמְחָא שֶׁהִכָּה
דִּמְלוּכְלָכִים שֶׁמְלֻכְלָכִים
דִּמְמוּנֶה הַהוּא
דִּמְעִין הַדְּמָעוֹת
דִּמְצוּיָינִין הַמְצֻיָּנִים
דִּמְשַׁח שֶׁל
דִּמְשָׁטְטִין שֶׁמְּשׁוֹטְטִים
דִּנְהִרִין שמאירים
דִּנְהוֹרִין נתקנו
דִּסְלִיקוּ שעלו
דִּסְתִימָא שֶׁהַסָּתוּם
דִּסְתִּימִין הַסְּתוּמִים
דִּצְלוֹתָא תפילת
דִּצְנִיעוּתָא המוצנע
דִּקְרָאֵי הַפְּסוּקִים
דִּקְרוּמָא שהקרום
דִּשְׁבִיבִין _כְּדֵי_
דִּשְׁבָחָא שֶׁבַח
דִּשְׁלֹמֹה שֶׁל
דִּשְׁמָא הַשֵּׁם
דִּשְׂמָאלָא שמאלית
דִּשְׂעַר שיערות
דִּתְחוֹת שֶׁתַּחַת
דִּתְלֵיסָר דִּתְלֵיסָר
דִּתְרֵין שְׁתֵּי
דִּתְרֵיסָר דִּתְרֵיסָר
דֵּין הזה
דֶּאֱלָהֲכוֹן שֶׁאֱלֹהֵיכֶם
דֶּאֱלהִים שֶׁאֱלֹהִים
דַּאֲוִירָא האוויר
דַּאֲמֵינָא שֶׁאָמַרְנוּ
דַּאֲרִיךְ אריך
דַּהֲוִי שבראש
דַּהֲוֵֽינָא כשֶׁהָיִיתִי
דַּהֲווֹ שהיו
דַּהֲווּ שֶׁהָיוּ
דַּחֲמִיתִיךְ שֶׁרְאִיתִיךְ
דַּחֲמֵית שֶׁרָאִיתָ
דַּי דַּי
דַּיָּין דַּיָּין
דַּכְיָא הטהורה
דַּכְיָין טהורים
דַּעְתָּךְ בדעתך
דַּעְתּוֹי דעתו
דַּעַת דַּעַת
דַּקִּיק דַּק
דַּרְגָא דַרְגָּה
דַּרְגִּין דְרָגוֹת
דָּא זו
דָּבָר דבר
דָּוִד דָּוִד
דָּחִֽילְנָא פָּחַדְתִּי
דָּחִיל יָרֵא
דָּחִיק דּוֹחֵק
דָּלֶ״ת דָּלֶ״ת
דָּמָא הדם
דּוּגְמַת דֻגְמַת
דּוּךְ מְקוֹם
דּוּמָה דּוּמָה
דּוּרְדְּיֵיהּ שמריו
דאינון שהם
דאתי הבא
דבר דבר
דוּ דּוּ
דוּמה דוּמָה
דזעיר דִּזְעֵיר
דינא הדין
דלתתא שֶׁלְּמַטָּה
דמרזא שמסוד
דנהרין המאירים
דנורא הָאֵשׁ
דעמודא עַמּוּד
הֲֽדָא זה
הֲדַר הֲדַר
הֲדָא ונכנעים
הֲוִי היו
הֲוֵֽינָא הָיִיתִי
הֲוֵי הָיָה
הֲוַת הָיָה
הֲוָה היה
הֲווֹ היה
הֲווּ הָיוּ
הִיא זה
הִכָּה הִכָּה
הִלּוּלָא הִלּוּלָא
הִפִּֽילָה הִפִּילָה
הִרְהוּרִין ההִרְהוּרים
הֵיאַךְ אֵיךְ
הֵיךְ אֵיךְ
הֵיךָ אֵיךְ
הֵיכָלָא הַהֵיכָל
הֵ״א הֵ״א
הֶֽרֶג הֶרֶג
הֶעָוֹן הֶעָון
הַאי זה
הַגּוֹיִם הַגּוֹיִם
הַגּוֹלָה הַגּוֹלָה
הַדְרִי חוזר
הַדִּין הַדִּין
הַהִיא הָרְצוּעָה
הַהוּא ההוא
הַזָּקֵן הזקן
הַחַיִּים הַחַיִּים
הַחוֹחִים הַחוֹחִים
הַחוֹטֶם הַחוֹטֶם
